"obsDate","Species","State","Latitude","Longitude","New","Confirmed","Alive","Status","Date","week.number"
2010-08-23,"Tursiops truncatus","LA",29.21451,-91.12,"N","Y","N","Tursiops truncatus_N",2010-08-23,35
2010-08-24,"Tursiops truncatus","LA",29.18333,-90.93803,"N","Y","N","Tursiops truncatus_N",2010-08-24,35
2010-08-24,"Tursiops truncatus","MS",30.52683,-88.59612,"N","Y","N","Tursiops truncatus_N",2010-08-24,35
2010-08-27,"Tursiops truncatus","LA",29.04871,-90.92101,"N","Y","N","Tursiops truncatus_N",2010-08-27,35
2010-09-01,"Unknown","LA",29.21418,-91.11926,"N","Y","N","Unknown_N",2010-09-01,36
2010-09-02,"Tursiops truncatus","LA",29.93397,-89.40405,"N","Y","N","Tursiops truncatus_N",2010-09-02,36
2010-09-02,"Tursiops truncatus","LA",29.14415,-90.12308,"N","Y","N","Tursiops truncatus_N",2010-09-02,36
2010-09-02,"Tursiops truncatus","LA",29.42247,-89.68827,"N","Y","N","Tursiops truncatus_N",2010-09-02,36
2010-09-04,"Tursiops truncatus","LA",30.1754,-89.69735,"N","Y","N","Tursiops truncatus_N",2010-09-04,36
2010-09-10,"Tursiops truncatus","LA",29.05048,-90.92498,"N","Y","N","Tursiops truncatus_N",2010-09-10,37
2010-09-11,"Tursiops truncatus","LA",29.26278,-89.94936,"N","Y","N","Tursiops truncatus_N",2010-09-11,37
2010-09-11,"Tursiops truncatus","LA",29.30493,-89.95745,"N","Y","N","Tursiops truncatus_N",2010-09-11,37
2010-09-11,"Tursiops truncatus","MS",30.29659,-89.33904,"N","Y","N","Tursiops truncatus_N",2010-09-11,37
2010-09-12,"Kogia sp.","LA",28.9435,-89.41249,"N","Y","N","Kogia sp._N",2010-09-12,37
2010-09-14,"Tursiops truncatus","LA",29.23313,-90.09193,"N","Y","N","Tursiops truncatus_N",2010-09-14,38
2010-09-19,"Tursiops truncatus","AL",30.25078,-88.20687,"N","Y","N","Tursiops truncatus_N",2010-09-19,38
2010-09-21,"Tursiops truncatus","FL",30.1307,-85.7433,"N","Y","N","Tursiops truncatus_N",2010-09-21,39
2010-09-22,"Tursiops truncatus","LA",29.1464,-90.20774,"N","Y","N","Tursiops truncatus_N",2010-09-22,39
2010-09-21,"Peponocephala electra","AL",30.39444,-88.31717,"N","Y","N","Peponocephala electra_N",2010-09-21,39
2010-09-24,"Tursiops truncatus","FL",29.83813,-85.31802,"N","Y","N","Tursiops truncatus_N",2010-09-24,39
2010-10-01,"Tursiops truncatus","MS",30.23833,-89.07305,"N","Y","N","Tursiops truncatus_N",2010-10-01,40
