"","X","Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number","Alive","Common","Family","Quarter"
"618",618,"Brown Pelican",29.09552,-90.2216,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"619",619,"Brown Pelican",30.24447,-88.26977,"Not Visibly Oiled","Dead",1,"2010-06-20",3,2010-06-20,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"621",621,"Brown Pelican",30.3828,-88.27086,"Not Visibly Oiled","Dead",1,"2010-06-18",3,2010-06-18,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"622",622,"Brown Pelican",29.00029,-89.36961,"Unknown","Dead",1,"2010-05-14",5,2010-05-14,20,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"623",623,"Brown Pelican",29.35218,-89.83088,"Unknown","Dead",1,"2010-06-08",5,2010-06-08,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"624",624,"Brown Pelican",30.52271,-88.17218,"Not Visibly Oiled","Dead",1,"2010-06-08",3,2010-06-08,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"625",625,"Brown Pelican",29.921,-88.87946,"Visibly Oiled","Dead",1,"2010-07-09",4,2010-07-09,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"631",631,"Brown Pelican",29.27986,-89.56288,"Visibly Oiled","Dead",1,"2010-06-05",4,2010-06-05,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"632",632,"Brown Pelican",29.98486,-89.1723,"Visibly Oiled","Dead",1,"2010-06-18",4,2010-06-18,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"633",633,"Brown Pelican",28.98998,-89.14798,"Not Visibly Oiled","Dead",1,"2010-06-24",3,2010-06-24,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"634",634,"Brown Pelican",30.22887,-89.07201,"Visibly Oiled","Dead",1,"2010-08-09",4,2010-08-09,33,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"638",638,"Brown Pelican",29.02415,-89.30993,"Unknown","Dead",1,"2010-05-29",5,2010-05-29,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"639",639,"Brown Pelican",30.51195,-88.04774,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"641",641,"Brown Pelican",30.62032,-88.04915,"Not Visibly Oiled","Dead",1,"2010-06-10",3,2010-06-10,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"643",643,"Brown Pelican",29.30876,-89.90609,"Not Visibly Oiled","Dead",1,"2010-08-21",3,2010-08-21,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"644",644,"Brown Pelican",29.25864,-89.95161,"Not Visibly Oiled","Dead",1,"2010-09-08",3,2010-09-08,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"645",645,"Brown Pelican",29.63663,-89.50516,"Not Visibly Oiled","Dead",1,"2010-07-28",3,2010-07-28,31,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"647",647,"Brown Pelican",29.95637,-89.19149,"Not Visibly Oiled","Dead",1,"2010-08-10",3,2010-08-10,33,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"649",649,"Brown Pelican",30.23254,-88.28249,"Unknown","Dead",1,"2010-06-03",5,2010-06-03,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"650",650,"Brown Pelican",29.48816,-89.17016,"Unknown","Dead",1,"2010-05-20",5,2010-05-20,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"651",651,"Brown Pelican",29.36552,-89.86345,"Visibly Oiled","Dead",1,"2010-08-19",4,2010-08-19,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"653",653,"Brown Pelican",29.18223,-89.37876,"Visibly Oiled","Dead",1,"2010-06-22",4,2010-06-22,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"654",654,"Brown Pelican",30.24628,-88.87373,"Visibly Oiled","Dead",1,"2010-07-08",4,2010-07-08,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"657",657,"Brown Pelican",30.29561,-87.79683,"Visibly Oiled","Dead",1,"2010-08-23",4,2010-08-23,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"661",661,"Brown Pelican",29.98701,-89.15601,"Unknown","Dead",1,"2010-05-22",5,2010-05-22,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
